date,912101A,912105A,915011A,915206A,917107A
1911-12-21,38.0644,38.08466,36.83192,38.90021,33.25677
1911-12-22,40.8638,40.84392,36.62404,39.51478,35.33725
1911-12-23,40.83211,40.79691,37.14665,39.76029,37.66203
1911-12-24,41.99731,41.97396,37.61042,41.68817,36.21781
1911-12-25,39.86993,39.90988,37.71157,40.50868,34.64517
1911-12-26,38.87268,38.90122,37.39925,39.32205,34.70317
1911-12-27,38.7012,38.72061,38.65126,39.50876,34.6579
1911-12-28,41.46943,41.47656,36.85646,41.35165,32.9212
1911-12-29,37.35462,37.38911,34.75633,39.67408,32.3489
1911-12-30,38.25983,38.28307,35.28431,40.30562,33.12084
1911-12-31,36.68761,36.69137,34.75348,38.13278,33.90453
1912-01-01,36.56786,36.54483,35.59802,35.29469,34.68781
1912-01-02,36.73081,36.75724,33.80604,36.81803,33.8507
1912-01-03,36.915,36.94592,34.82262,38.23315,34.21379
1912-01-04,35.41934,35.48039,33.77473,36.66774,34.11803
1912-01-05,36.19064,36.26147,35.59829,38.27574,33.88843
1912-01-06,40.47801,40.46923,37.63094,38.2294,34.35013
1912-01-07,41.33877,41.32442,37.55223,41.08737,35.40589
1912-01-08,39.88675,39.91484,33.54806,39.69977,33.75822
1912-01-09,37.50992,37.56602,32.74033,38.28718,31.06089
1912-01-10,38.13483,38.1614,34.58316,37.66209,31.16906
1912-01-11,36.56234,36.5673,35.26389,36.02065,31.69149
1912-01-12,39.01087,39.01579,34.55494,38.20394,32.85228
1912-01-13,37.01198,37.04728,35.54751,38.23674,33.77541
1912-01-14,33.21027,33.23626,33.67325,36.44975,32.799
1912-01-15,34.02519,33.98796,32.92251,37.104,31.23356
1912-01-16,36.38138,36.40074,34.86948,38.42861,32.71207
1912-01-17,40.61666,40.63359,36.98091,39.87557,33.64067
1912-01-18,38.85516,38.88605,36.673,39.53758,33.85049
1912-01-19,37.2574,37.29058,34.80144,38.71356,33.86353
1912-01-20,38.53129,38.58218,36.32183,39.79701,34.50689
1912-01-21,39.36291,39.41544,36.35267,39.75822,35.21966
1912-01-22,40.58605,40.62464,36.41984,40.7013,34.36839
1912-01-23,42.41447,42.48025,36.94295,41.86633,33.93184
1912-01-24,44.25204,44.27755,39.15814,42.32024,35.35872
1912-01-25,40.30281,40.33532,39.37836,40.24742,35.49452
1912-01-26,39.84748,39.89108,38.33368,39.64092,35.73263
1912-01-27,39.1439,39.20613,36.93742,40.11242,35.42252
1912-01-28,37.84326,37.91428,34.82899,38.19726,33.29248
1912-01-29,37.63048,37.66841,33.20593,38.91392,31.44879
1912-01-30,36.73985,36.77513,33.47378,38.24507,32.13992
1912-01-31,36.11622,36.12192,33.22475,38.38226,31.51223
1912-02-01,35.37283,35.39306,33.49546,38.25261,31.14129
1912-02-02,34.42204,34.44568,32.91844,37.62912,30.71048
1912-02-03,34.86425,34.88577,33.84519,38.31757,31.89609
1912-02-04,36.54139,36.59822,34.43158,38.47873,32.01571
1912-02-05,37.88336,37.93282,34.71585,38.89183,32.30255
1912-02-06,37.69184,37.75149,34.78589,39.08949,32.09237
1912-02-07,37.51161,37.56527,34.31599,39.73045,32.25743
1912-02-08,37.73851,37.77632,35.72632,38.42243,33.36645
1912-02-09,36.92541,36.98525,34.44966,37.75796,30.31631
1912-02-10,37.67528,37.70947,34.89865,38.10479,33.28823
1912-02-11,35.76976,35.83654,35.2549,37.2859,31.49276
1912-02-12,36.14009,36.18802,33.85853,38.00116,31.99214
1912-02-13,36.69656,36.74071,33.15068,38.12322,31.38744
1912-02-14,35.14551,35.1817,33.0428,36.32465,31.17155
1912-02-15,35.92671,35.90922,33.24498,34.81641,31.53369
1912-02-16,31.03278,31.03847,32.12351,33.00965,30.74508
1912-02-17,31.26605,31.26018,30.89303,32.14615,29.5957
1912-02-18,32.51164,32.47429,29.5319,32.74704,29.51255
1912-02-19,32.89279,32.89063,32.0225,34.8795,30.12594
1912-02-20,31.89121,31.87215,31.66439,35.48522,29.82967
1912-02-21,33.60959,33.61439,31.9554,35.97847,30.85858
1912-02-22,34.73606,34.73457,32.17331,37.04422,29.95116
1912-02-23,35.12674,35.1271,33.60113,36.94162,31.55899
1912-02-24,35.35484,35.35877,32.59192,36.90723,31.12724
1912-02-25,33.88267,33.85932,31.96822,34.18989,30.12239
1912-02-26,31.67719,31.68835,30.0595,32.39041,28.5523
1912-02-27,30.73839,30.76206,32.32133,34.37455,30.09784
1912-02-28,35.2109,35.22278,33.74423,37.48239,30.78071
1912-02-29,34.83525,34.87194,33.40281,37.45345,31.2858
1912-03-01,35.28072,35.30134,31.94632,34.92973,31.05789
1912-03-02,37.22872,37.23758,32.85207,35.96533,31.55855
1912-03-03,37.97989,37.98204,32.82582,37.12334,31.11254
1912-03-04,39.00968,39.03012,30.28454,36.16025,28.0165
1912-03-05,32.98068,33.02031,30.54162,34.16887,30.93604
1912-03-06,33.875,33.906,30.62151,34.46571,30.40147
1912-03-07,33.44083,33.45672,29.70057,34.23871,28.90168
